Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,TNT,1.5,,0.9,,,,,,,,,,,60,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,TWC,0.2,,0.2,,,,,,,,,,,16,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,USA,1,,1,,,,,,,,,,,70,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,AEN,0.6,,0.3,,,,,,,,,,,20,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,BET,0.7,,0.4,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,BRVO,0.7,,0.5,,,,,,,,,,,18,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,CNN,0.3,,0.1,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,ESPN,1.2,,0.4,,,,,,,,,,,22,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,FAM,0.3,,0.2,,,,,,,,,,,6,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,FOOD,0.6,,0.5,,,,,,,,,,,8,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,FXNC,1.6,,0.7,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,HGTV,0.7,,0.5,,,,,,,,,,,20,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,LIF,0.5,,0.4,,,,,,,,,,,20,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,TBS,0.9,,0.4,,,,,,,,,,,20,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,TLC,0.6,,0.4,,,,,,,,,,,16,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,TNT,1.5,,0.4,,,,,,,,,,,20,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,TWC,0.2,,0.1,,,,,,,,,,,10,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,1000P-1200A,USA,1,,0.5,,,,,,,,,,,22,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,AEN,,,,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,BET,0.1,,0.2,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,CNN,0.3,,0.3,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,ESPN,0.3,,0,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,FAM,0,,0,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,FOOD,,,,,,,,,,,,,,3,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,FXNC,2.1,,1.8,,,,,,,,,,,4,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,HGTV,,,,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,LIF,,,,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,TBS,0.2,,0.3,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,TLC,,,,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,TNT,0.3,,0.2,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,TWC,0.3,,0.4,,,,,,,,,,,2,,,
Suddenlink - Jennings 6789,,Mon-Sun,0600A-0900A,USA,,,,,,,,,,,,,,2,,,
